# x y z vx vy vz mass
84.907750 105.433118 -35.492149 87.592188 108.758675 -36.455159 1.550096
116.491726 5.528848 -72.586152 119.979999 5.665158 -74.738392 1.166223
-28.619966 1.213561 177.871373 -29.444612 1.215355 183.203579 1.692267
6.599340 -198.864138 -53.672168 6.825144 -204.917867 -55.348090 1.413604
-62.234691 -44.509652 82.326743 -64.046700 -45.813412 84.622860 1.770528
-68.861224 39.392397 37.550740 -70.797546 40.554558 38.588656 0.768978
41.711917 -136.627323 63.732128 42.944962 -140.640007 65.596177 1.970039
-75.476418 14.700690 18.161395 -77.614111 15.025143 18.568444 0.804809
-42.655911 -87.453777 32.611283 -43.840745 -89.889831 33.578758 0.677212
-106.765700 -36.797639 -151.448811 -110.088010 -37.870752 -156.112795 1.261530
10.117117 11.617919 78.940435 10.588023 12.279757 81.267942 1.491767
-9.025575 -24.535144 147.126618 -9.181175 -25.214100 151.513598 1.934838
144.612880 77.070033 54.876446 149.072516 79.444223 56.496937 1.402029
